fecha,cartera_total,cartera_vencida,deuda,patrimonio,intereses_cartera_total,intereses_deuda,vehiculos_mensuales_estimados,ebt
2012-04-30,869254645270.0,42536835370.0,727440743060.0,224454941940.0,9935582350.0,4441358190.0,23606.822774213262,2852300690.0
2012-05-31,886338115700.0,40589385750.0,752452931530.0,226160708970.0,10521752510.0,4878444250.0,23459.073186061607,3206700850.0
2012-06-30,879631375860.0,42952313700.0,779199242750.0,227357051670.0,10448485620.0,4865550030.0,23992.07858382057,2476330540.0
2012-07-31,829533985170.0,43371579550.0,775220853780.0,228490120500.0,10601157130.0,5188461070.0,25068.80619964097,2172454650.0
2012-08-31,850824972840.0,44676861470.0,774639630510.0,229540234560.0,10501500480.0,4364899830.0,23682.331672617478,2482283890.0
2012-09-30,865361943880.0,44284217770.0,794960191810.0,230121965340.0,9666712420.0,4900691780.0,23662.005271967762,1104178600.0
2012-10-31,813534375710.0,43487553140.0,779640122810.0,231026399320.0,10233781990.0,5015098700.0,23784.36580028816,1767378810.0
2012-11-30,838985719530.0,44794729300.0,773530057270.0,231851509350.0,10098528440.0,4754723320.0,25390.49583299751,1997181860.0
2012-12-31,821902358150.0,48597832360.0,766139824630.0,232244547010.0,10192218840.0,4905574430.0,29929.903137565227,850189210.0
2013-01-31,764847710350.0,48870784700.0,756969088750.0,232550452000.0,9754109890.0,4700537650.0,21456.868269006696,1343040090.0
2013-02-28,760669328850.0,48688927380.0,707801099760.0,233075973190.0,9411054710.0,4326524460.0,22082.65342590572,1307193290.0
2013-03-31,803120148470.0,52599723760.0,694594797650.0,233467644240.0,9815495970.0,4219229800.0,22065.61033925906,1409959160.0
2013-04-30,778734093190.0,50641902010.0,670832718620.0,233869196270.0,9898946820.0,3567701740.0,23517.12928614735,1372166130.0
2013-05-31,789577540180.0,50122369220.0,693245987640.0,234674698200.0,9592542840.0,3622867010.0,23020.348039213048,1549739030.0
2013-06-30,815108850860.0,57071825340.0,722516001410.0,236284235490.0,9866606460.0,3432191130.0,23336.435768396634,1586437560.0
2013-07-31,793240819880.0,56656021830.0,713494367390.0,235991308010.0,9436562629.999992,3601581410.0,24757.526360499716,3227499470.0
2013-08-31,795519505770.0,53924691300.0,687454514590.0,236826632490.0,9456816350.000008,3454545210.0,23536.477273908004,1264062590.0
2013-09-30,821951141720.0,55178740040.0,666949592400.0,237523985820.0,9433550560.0,3269766270.0,23014.744542660294,1615286450.0
2013-10-31,820069322540.0,55588074000.0,679035678880.0,238444859000.0,9705061290.0,3292268730.0,23649.735787180878,1590757560.0
2013-11-30,854320583360.0,57258423630.0,683651046630.0,239555468950.0,9661058870.0,3125006760.0,25330.240456414194,2148966390.0
2013-12-31,837590011900.0,63455614480.0,707642583390.0,240682394970.0,9977392350.0,3382805630.0,29461.230451408406,1797758450.0
2014-01-31,834467814420.0,64665477400.0,718283746380.0,241543382560.0,9880755120.0,3415736540.0,23792.76339975911,1820641020.0
2014-02-28,844997419600.0,66590883670.0,728596586480.0,242416942260.0,9709069020.0,3181118080.0,24807.679278506872,1874873130.0
2014-03-31,880065814180.0,65977122590.0,730475067000.0,242992262080.0,10057761680.0,3483189990.0,24931.303459427934,1541159250.0
2014-04-30,899352806160.0,66090725130.0,700712798990.0,243764451540.0,10040880340.0,3283186350.0,26029.57605602933,1514731890.0
2014-05-31,909844771300.0,63249889540.0,703437725780.0,244968844460.0,10239981250.0,3509638400.0,25655.040568339162,2299735020.0
